slug,ine,ine_idescat,municipality,comarca
abella-conca,25001,250019,Abella de la Conca,Pallars Jussà
ager,25002,250024,Àger,Noguera
agramunt,25003,250030,Agramunt,Urgell
agullana,17001,170010,Agullana,Alt Empordà
aiguamurcia,43001,430017,Aiguamúrcia,Alt Camp
aiguaviva,17002,170025,Aiguaviva,Gironès
aitona,25038,250387,Aitona,Segrià
alamus,25004,250045,"Alamús, els",Segrià
alas-i-cerc,25005,250058,Alàs i Cerc,Alt Urgell
albages,25006,250061,"Albagés, l'",Garrigues
albanya,17003,170031,Albanyà,Alt Empordà
albatarrec,25007,250077,Albatàrrec,Segrià
albesa,25008,250083,Albesa,Noguera
albi,25009,250096,"Albi, l'",Garrigues
albinyana,43002,430022,Albinyana,Baix Penedès
albiol,43003,430038,"Albiol, l'",Baix Camp
albons,17004,170046,Albons,Baix Empordà
alcanar,43004,430043,Alcanar,Montsià
alcano,25010,250100,Alcanó,Segrià
alcarras,25011,250117,Alcarràs,Segrià
alcoletge,25012,250122,Alcoletge,Segrià
alcover,43005,430056,Alcover,Alt Camp
aldea,43904,439044,"Aldea, l'",Baix Ebre
aldover,43006,430069,Aldover,Baix Ebre
aleixar,43007,430075,"Aleixar, l'",Baix Camp
alfara-carles,43008,430081,Alfara de Carles,Baix Ebre
alfarras,25013,250138,Alfarràs,Segrià
alfes,25014,250143,Alfés,Segrià
alforja,43009,430094,Alforja,Baix Camp
algerri,25015,250156,Algerri,Noguera
alguaire,25016,250169,Alguaire,Segrià
alins,25017,250175,Alins,Pallars Sobirà
alio,43010,430108,Alió,Alt Camp
almacelles,25019,250194,Almacelles,Segrià
almatret,25020,250208,Almatret,Segrià
almenar,25021,250215,Almenar,Segrià
almoster,43011,430115,Almoster,Baix Camp
alos-balaguer,25022,250220,Alòs de Balaguer,Noguera
alp,17006,170062,Alp,Cerdanya
alpicat,25023,250236,Alpicat,Segrià
alt-aneu,25024,250241,Alt Àneu,Pallars Sobirà
altafulla,43012,430120,Altafulla,Tarragonès
amer,17007,170078,Amer,Selva
ametlla-mar,43013,430136,"Ametlla de Mar, l'",Baix Ebre
ampolla,43906,439060,"Ampolla, l'",Baix Ebre
amposta,43014,430141,Amposta,Montsià
angles,17008,170084,Anglès,Selva
anglesola,25027,250273,Anglesola,Urgell
arbeca,25029,250292,Arbeca,Garrigues
arboc,43016,430167,"Arboç, l'",Baix Penedès
arboli,43015,430154,Arbolí,Baix Camp
arbucies,17009,170097,Arbúcies,Selva
argelaguer,17010,170101,Argelaguer,Garrotxa
argentera,43017,430173,"Argentera, l'",Baix Camp
armentera,17011,170118,"Armentera, l'",Alt Empordà
arnes,43018,430189,Arnes,Terra Alta
arres,25031,250313,Arres,Aran
arseguel,25032,250328,Arsèguel,Alt Urgell
artesa-lleida,25033,250334,Artesa de Lleida,Segrià
artesa-segre,25034,250349,Artesa de Segre,Noguera
asco,43019,430192,Ascó,Ribera d'Ebre
aspa,25036,250365,Aspa,Segrià
avellanes-i-santa-linya,25037,250371,"Avellanes i Santa Linya, les",Noguera
avinyonet-puigventos,17012,170123,Avinyonet de Puigventós,Alt Empordà
badalona,08015,080155,Badalona,Barcelonès
badia-valles,08904,089045,Badia del Vallès,Vallès Occidental
baix-pallars,25039,250390,Baix Pallars,Pallars Sobirà
balaguer,25040,250404,Balaguer,Noguera
banyeres-penedes,43020,430206,Banyeres del Penedès,Baix Penedès
banyoles,17015,170157,Banyoles,Pla de l'Estany
barbens,25041,250411,Barbens,Pla d'Urgell
barbera-conca,43021,430213,Barberà de la Conca,Conca de Barberà
barbera-valles,08252,082520,Barberà del Vallès,Vallès Occidental
barcelona-ciutat-vella,08019,080193,Barcelona,Barcelonès
barcelona-corts,08019,080193,Barcelona,Barcelonès
barcelona-eixample,08019,080193,Barcelona,Barcelonès
barcelona-gracia,08019,080193,Barcelona,Barcelonès
barcelona-horta-guinardo,08019,080193,Barcelona,Barcelonès
barcelona-nou-barris,08019,080193,Barcelona,Barcelonès
barcelona-sant-andreu,08019,080193,Barcelona,Barcelonès
barcelona-sant-marti,08019,080193,Barcelona,Barcelonès
barcelona-sants-montjuic,08019,080193,Barcelona,Barcelonès
barcelona-sarria-sant-gervasi,08019,080193,Barcelona,Barcelonès
baronia-rialb,25042,250426,"Baronia de Rialb, la",Noguera
bascara,17016,170160,Bàscara,Alt Empordà
bassella,25044,250447,Bassella,Alt Urgell
batea,43022,430228,Batea,Terra Alta
bausen,25045,250450,Bausen,Aran
begues,08020,080207,Begues,Baix Llobregat
begur,17013,170139,Begur,Baix Empordà
belianes,25046,250463,Belianes,Urgell
bell-lloc-urgell,25048,250485,Bell-lloc d'Urgell,Pla d'Urgell
bellaguarda,25170,251706,Bellaguarda,Garrigues
bellcaire-emporda,17018,170182,Bellcaire d'Empordà,Baix Empordà
bellcaire-urgell,25047,250479,Bellcaire d'Urgell,Noguera
bellmunt-priorat,43023,430234,Bellmunt del Priorat,Priorat
bellmunt-urgell,25049,250498,Bellmunt d'Urgell,Noguera
bellpuig,25050,250501,Bellpuig,Urgell
bellvei,43024,430249,Bellvei,Baix Penedès
bellver-cerdanya,25051,250518,Bellver de Cerdanya,Cerdanya
bellvis,25052,250523,Bellvís,Pla d'Urgell
benavent-segria,25053,250539,Benavent de Segrià,Segrià
benifallet,43025,430252,Benifallet,Baix Ebre
benissanet,43026,430265,Benissanet,Ribera d'Ebre
besalu,17019,170195,Besalú,Garrotxa
bescano,17020,170209,Bescanó,Gironès
beuda,17021,170216,Beuda,Garrotxa
biosca,25055,250557,Biosca,Solsonès
bisbal-emporda,17022,170221,"Bisbal d'Empordà, la",Baix Empordà
bisbal-falset,43027,430271,"Bisbal de Montsant, la",Priorat
bisbal-penedes,43028,430287,"Bisbal del Penedès, la",Baix Penedès
biure,17234,172348,Biure,Alt Empordà
blancafort,43029,430290,Blancafort,Conca de Barberà
blanes,17023,170237,Blanes,Selva
boadella-i-escaules,17029,170293,Boadella i les Escaules,Alt Empordà
bolvir,17024,170242,Bolvir,Cerdanya
bonastre,43030,430304,Bonastre,Baix Penedès
bordils,17025,170255,Bordils,Gironès
borges-blanques,25058,250582,"Borges Blanques, les",Garrigues
borges-camp,43031,430311,"Borges del Camp, les",Baix Camp
borrassa,17026,170268,Borrassà,Alt Empordà
bossost,25059,250595,Bossòst,Aran
bot,43032,430326,Bot,Terra Alta
botarell,43033,430332,Botarell,Baix Camp
bovera,25056,250560,Bovera,Garrigues
brafim,43034,430347,Bràfim,Alt Camp
breda,17027,170274,Breda,Selva
brunyola-i-sant-marti-sapresa,17028,170280,Brunyola i Sant Martí Sapresa,Selva
cabaces,43035,430350,Cabacés,Priorat
cabanabona,25060,250609,Cabanabona,Noguera
cabanelles,17031,170314,Cabanelles,Alt Empordà
cabanes,17030,170307,Cabanes,Alt Empordà
cabo,25061,250616,Cabó,Alt Urgell
cabra-camp,43036,430363,Cabra del Camp,Alt Camp
cadaques,17032,170329,Cadaqués,Alt Empordà
calafell,43037,430379,Calafell,Baix Penedès
caldes-malavella,17033,170335,Caldes de Malavella,Selva
calonge-i-sant-antoni,17034,170340,Calonge i Sant Antoni,Baix Empordà
camarasa,25062,250621,Camarasa,Noguera
camarles,43903,439039,Camarles,Baix Ebre
cambrils,43038,430385,Cambrils,Baix Camp
camos,17035,170353,Camós,Pla de l'Estany
campdevanol,17036,170366,Campdevànol,Ripollès
campelles,17037,170372,Campelles,Ripollès
campllong,17038,170388,Campllong,Gironès
camprodon,17039,170391,Camprodon,Ripollès
canejan,25063,250637,Canejan,Aran
canet-adri,17040,170405,Canet d'Adri,Gironès
canonja,43907,439076,"Canonja, la",Tarragonès
cantallops,17041,170412,Cantallops,Alt Empordà
capafonts,43039,430398,Capafonts,Baix Camp
capcanes,43040,430402,Capçanes,Priorat
capmany,17042,170427,Capmany,Alt Empordà
caseres,43041,430419,Caseres,Terra Alta
cassa-selva,17044,170448,Cassà de la Selva,Gironès
castell-mur,25904,259046,Castell de Mur,Pallars Jussà
castell-platja-aro,17048,170486,"Castell d'Aro, Platja d'Aro i s'Agaró",Baix Empordà
castellar-ribera,25064,250642,Castellar de la Ribera,Solsonès
castellbisbal,08054,080543,Castellbisbal,Vallès Occidental
castelldans,25067,250674,Castelldans,Garrigues
castelldefels,08056,080569,Castelldefels,Baix Llobregat
